<http://dbpedia.org/ontology/Religious>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Cleric>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/RomanEmperor>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Engineer>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Farmer>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/BusinessPerson>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Coach>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Producer>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Politician>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/OrganisationMember>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/FictionalCharacter>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Psychologist>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/SportsManager>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Chef>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Philosopher>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Monarch>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/PlayboyPlaymate>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/TelevisionPersonality>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/BeautyQueen>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Scientist>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Presenter>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Referee>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Ambassador>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Royalty>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Lawyer>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/MovieDirector>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Model>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Aristocrat>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Egyptologist>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Architect>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Judge>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Economist>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Journalist>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/HorseTrainer>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Orphan>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/PoliticianSpouse>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Linguist>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Criminal>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/TelevisionDirector>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/MemberResistanceMovement>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Celebrity>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Noble>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/Astronaut>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/OfficeHolder>,<http://dbpedia.org/ontology/Person>
<http://dbpedia.org/ontology/ProtohistoricalPeriod>,<http://dbpedia.org/ontology/TimePeriod>
<http://dbpedia.org/ontology/YearInSpaceflight>,<http://dbpedia.org/ontology/TimePeriod>
<http://dbpedia.org/ontology/Year>,<http://dbpedia.org/ontology/TimePeriod>
<http://dbpedia.org/ontology/PrehistoricalPeriod>,<http://dbpedia.org/ontology/TimePeriod>
<http://dbpedia.org/ontology/HistoricalPeriod>,<http://dbpedia.org/ontology/TimePeriod>
<http://dbpedia.org/ontology/GeologicalPeriod>,<http://dbpedia.org/ontology/TimePeriod>
<http://dbpedia.org/ontology/CareerStation>,<http://dbpedia.org/ontology/TimePeriod>
<http://dbpedia.org/ontology/PeriodOfArtisticStyle>,<http://dbpedia.org/ontology/TimePeriod>
<http://dbpedia.org/ontology/Event>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/SportsSeason>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/TimePeriod>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Biomolecule>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/AnatomicalStructure>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Work>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/TopicalConcept>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/GeneLocation>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/MeanOfTransportation>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Food>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Species>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Place>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/GrossDomesticProduct>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/SportCompetitionResult>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Name>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Activity>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Device>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Area>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/UnitOfWork>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/PersonFunction>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/ChartsPlacements>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/EthnicGroup>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Holiday>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/ChemicalSubstance>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Flag>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Colour>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Agent>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Population>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/PenaltyShootOut>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Relationship>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Media>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Blazon>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Altitude>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Language>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Currency>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Statistic>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Diploma>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Award>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/PublicService>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Disease>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/GrossDomesticProductPerCapita>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/ElectionDiagram>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Demographics>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/List>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Medicine>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Unknown>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Polyhedron>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/RouteStop>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/Depth>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/HumanDevelopmentIndex>,<http://www.w3.org/2002/07/owl#Thing>
<http://dbpedia.org/ontology/AutomobileEngine>,<http://dbpedia.org/ontology/Engine>
<http://dbpedia.org/ontology/RocketEngine>,<http://dbpedia.org/ontology/Engine>
<http://dbpedia.org/ontology/Enzyme>,<http://dbpedia.org/ontology/Biomolecule>
<http://dbpedia.org/ontology/Protein>,<http://dbpedia.org/ontology/Biomolecule>
<http://dbpedia.org/ontology/Lipid>,<http://dbpedia.org/ontology/Biomolecule>
<http://dbpedia.org/ontology/Gene>,<http://dbpedia.org/ontology/Biomolecule>
<http://dbpedia.org/ontology/Polysaccharide>,<http://dbpedia.org/ontology/Biomolecule>
<http://dbpedia.org/ontology/Hormone>,<http://dbpedia.org/ontology/Biomolecule>
<http://dbpedia.org/ontology/SongWriter>,<http://dbpedia.org/ontology/Writer>
<http://dbpedia.org/ontology/ScreenWriter>,<http://dbpedia.org/ontology/Writer>
<http://dbpedia.org/ontology/MusicComposer>,<http://dbpedia.org/ontology/Writer>
<http://dbpedia.org/ontology/PlayWright>,<http://dbpedia.org/ontology/Writer>
<http://dbpedia.org/ontology/Historian>,<http://dbpedia.org/ontology/Writer>
<http://dbpedia.org/ontology/Poet>,<http://dbpedia.org/ontology/Writer>
<http://dbpedia.org/ontology/Square>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Infrastructure>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Building>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/AmusementParkAttraction>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Tower>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/SportFacility>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Mill>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/MilitaryStructure>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Tunnel>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Venue>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Gate>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Pyramid>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Arena>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/Zoo>,<http://dbpedia.org/ontology/ArchitecturalStructure>
<http://dbpedia.org/ontology/University>,<http://dbpedia.org/ontology/EducationalInstitution>
<http://dbpedia.org/ontology/School>,<http://dbpedia.org/ontology/EducationalInstitution>
<http://dbpedia.org/ontology/College>,<http://dbpedia.org/ontology/EducationalInstitution>
<http://dbpedia.org/ontology/Library>,<http://dbpedia.org/ontology/EducationalInstitution>
<http://dbpedia.org/ontology/BloodVessel>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Brain>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Muscle>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Vein>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Nerve>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Ligament>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Artery>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Bone>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Lymph>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/Embryology>,<http://dbpedia.org/ontology/AnatomicalStructure>
<http://dbpedia.org/ontology/TelevisionShow>,<http://dbpedia.org/ontology/Work>
<http://dbpedia.org/ontology/WrittenWork>,<http://dbpedia.org/ontology/Work>
